index_label,name,id
145,序+Intro,27853803
146,拥抱,27853805
147,玩耍,27853807
148,恶之花,27853809
149,树,27853810
150,娱乐自己,2008937685
151,不爱我的我不爱,299598
152,我不是天使,280100
153,流星,117893
154,哼情歌,306668
155,类似爱情,26127556
156,爱上我所有,34586183
157,大风吹,1989316541
158,Dear you and the boy,26484112
159,Lonestar,1960129460
160,阴天,543965335
161,了解,287412
162,暗涌,300136
163,阴天快乐,28563317
164,该放手了,239137
165,错了,167781
166,我不会爱,167944
167,大开眼戒,67279
168,记得,25638971
169,爱没有假如,25657574
170,想你的365天,106368
171,月光爱人,154480
172,Di Da Di,255492
173,过完冬季,255490
174,真情人,255075
175,Baby对不起,255024
176,你留下的爱,1966105559
177,好心情,25642012
178,Before I Fall In Love,255227
179,Perfect In Everyway,255503
180,熟能生巧,108798
181,杭州，利群，你,1887031463
182,一个人的冬天,66452
183,不堪一击,37856478
184,我爱你，再见,139342
185,是但求其爱,1496602290
186,三人游,28029112
187,声音,189352
188,想不起你的名字,1480074653
189,歌颂者,1358848363
190,Always online(温柔男声),1831467368
191,广寒谣,1408941888
192,一格格,1836117930
193,秋天不回来 ,1489064589
194,枕边童话,1456393572
195,爱就一个字,1830686080
196,年轮,1830448879
197,出卖,1814162747
198,没有理由,1404906595
199,月光总会落在你身上,1818237485
200,蹦极,553815247
201,改变,26577098
202,江湖流,454966913
203,更上,1361223615
204,上学威龙,1355292203
205,绿洲,1327060656
206,原来,28892418
207,名人堂,527163711
208,Vancci,469384094
209,药物副作用,1372882136
210,舞娘,209718
211,日不落,209643
212,大艺术家,209539
213,Play我呸,29572738
214,爱情36计,209732
215,说爱你,210042
216,倒带,209936
217,美人计,209548
218,看我72变,210045
219,特务J,209633
220,清河,1473369225
221,突然好想你,385781
222,你永远是我的宝贝，宝贝,1854105063
224,降雨机率,524003143
225,山海,411314659
226,我当你空气,862100838
227,后来的我们,422104138
228,爱人错过,1368754688
229,被动,1983706291
230,全世界谁倾听你,432509483
231,成全,431259309
232,致姗姗来迟的你,432506809
233,浪费 (Live),443292045
234,突然好想你(Live),34614324
235,我有多么喜欢你,565907377
236,如同悲伤被下载了两次,34179838
237,吻得太逼真/酷爱(Live),5240868
238,你把我灌醉 (Live),34916137
239,我是一只鱼 (Live),34916139
240,青藏高原,238856
241,天亮了,238855
242,九儿 (红高粱),29738999
243,那片海,238849
244,只要平凡,1438881591
245,绒花,524152457
246,天路,238799
247,我说,1910647317
248,我就是那个小孩,1910653114
249,人间剧场,1910647316
250,一样的月光,306665
251,失落沙洲,306662
252,身骑白马,306664
253,我也不想这样,412902075
254,大雨将至,29774430
255,我所需要的,413812813
257,出口,306667
258,VIP,306661
259,喔伊细,306659
260,揪心的玩笑与漫长的白日梦,386829
261,大风吹,411314657
262,我夏流,33394070
263,送流水,1365208495
264,烂泥,411314656
265,银河冬令恋曲,34532821
267,跳东湖,1393609698
268,丑,411315632
269,兴奋到死的东西,1369034687
270,奇妙能力歌,30431366
271,当你老了,28240269
272,米店,26494698
273,一如年少模样,463157222
274,白银饭店,26494696
275,斑马，斑马,27646199
276,乌兰巴托的夜,28935312
277,我从崖边跌落,415086030
278,如春娇,472746454
279,爱情万岁,443876382
280,旋木,299264
281,逆光,287057
283,绿光,287021
284,记得,327422
285,流泪手心,25642675
286,流年,299513
287,暧昧,27591608
288,一笑而过,280098
289,温柔,386538
290,呓语,1417862046
291,小王,1417856017
292,平凡的一天,569214247
293,小王日记,1417862065
294,一荤一素,569200212
295,幼鸟指南,1845994608
296,像我这样的人,569213220
297,消愁,569200213
298,17,1383923446
299,Outro,1417849899
300,喜相逢,68101
301,你最红,1897935987
302,欢乐年年,5281403
303,旧时除夕,455420533
304,新年快乐,388067
305,财神到,5275165
306,好日子,288838
307,财神到,172227
308,万图岁福,1818806393
309,新年快乐,524148556
310,100 Ways,1431866827
311,Papillon,501467216
312,Dawn of us,553813030
313,LMLY,1832582017
314,一个人,1815918804
315,Vibes,1924815449
316,BULLET TO THE HEART,1391639224
317,Dead,1924818258
318,过,1804879213
319,I Love You 3000 II,1396162013
320,合拍,2016442586
321,有何不可,167876
322,雅俗共赏,411214279
323,多余的解释,167873
324,玫瑰花的葬礼,27646687
325,幻听,167655
326,清明雨上,167882
327,天龙八部之宿敌,167691
328,如果当时,167870
329,庐州月,167850
330,追,186421
331,爱的代价,108299
332,色诫,299907
333,女人花,276269
334,相见不如怀念,280154
335,漂洋过海来看你,108157
336,沙滩,150656
337,人间,300062
338,梦一场,280156
339,曲终人散,190406
340,真实,1360512111
341,连名带姓,522352195
342,母系社会,31311126
343,也许明天,327136
344,血腥爱情故事,31311140
345,彩虹,326887
346,冲突得很,31311127
347,你想干什么,31311141
348,不睡,31010272
349,灵魂尽头,32102723
