,nickname,userid,content,likecount,time,name
52,樂皧,1508388575,张三晚上跑出去上网零下三度也无法阻挡没带身份证老板不让他像个酒鬼瘫在大堂张三在学校大声喧哗他满脸沧桑胡子拉碴说到激动处无法自拔将可怜的李四推到了楼下他说张三的网瘾夸张他说张三不孝子就知道上网他说张三是丧心病狂谋杀可爱的羔羊阴霾下的乌鸦叽叽喳喳把谣言播撒仿佛撒旦立下kpi,7663,2021-01-04 20:54:55,童话镇
53,范志盛777,381927915,总有一条蜿蜒在童话镇里梦幻的河，满载我们七彩的童话.不论结局美满与否，还请你勿忘我.这是你我如王子公主般的约定.,7505,2020-02-12 19:14:51,童话镇
54,Aluuuuuuuuuuuu,39942537,节奏一收一放的循环着，就像夏夜的星空下哥哥轻轻拍在我肩上的那只手，带着宁静安逸的魔力，给了我那时最美的梦境，最甜的糖果。转眼间，随着这时光的河，我也流过了幸福结局的时刻，流到了这山口，等着许我施展魔法的那一刻。,6052,2016-05-25 21:39:24,童话镇
55,无所无不为,135823427,我很嗨皮!,4855,2016-05-24 15:23:04,童话镇
56,想开一家动物园,421909630,这首童话镇才是真正的童话故事，我们看到的美好结局都是中文译来的。不信你去看看美剧童话镇阿）,4808,2018-07-30 23:43:51,童话镇
57,尝尽人间味,135312879,因为不是亲生的，因为猎人是她亲爸，因为小矮人是七只基佬，因为王子：我是王子，我也没办法呀，我总不能去吻哪七只基佬吧！？,4800,2019-01-21 05:36:29,童话镇
58,无逸170725,549764358,哈哈哈，收了你的神通吧大佬,4741,2018-12-21 00:16:22,童话镇
59,浮光-跃金-,386540067,白雪公主好害怕。她常常会在镜子前面检查，有没有多一根皱纹或者白发，也会忍不住好奇，有没有更年轻漂亮的姑娘被王子遇到。终于有一天，白雪公主忍不住问:“镜子啊镜子，谁是这世界上最美丽的女人？”,4706,2019-06-24 10:11:58,童话镇
60,你们不配和我听歌,9499119,老人拿手机去店里维修工作人员告诉他手机并没有坏老人突然哭了“那我的孩子们怎么不给我打电话”近期看过最心酸的一个段子…,563109,2016-03-25 11:57:01,爸爸妈妈
61,起名字这么累-,72593844,刚好处在这个尴尬的年龄：心里会开始在关心爸妈，却不愿说出口；想多陪陪爸妈，却又无法控制自己经常去按手机玩电脑；知道爸妈想和自己说话，却不知道他们的话题要怎么接。看得到爸妈在变老心会疼，却仍不耐烦听他们过时的唠叨；但其实心里真的很爱他们，很想他们可以一直陪着我。,410042,2016-04-20 10:14:11,爸爸妈妈
62,寒-齐太,54604149,年度最佳温暖歌曲,330663,2016-03-22 18:12:43,爸爸妈妈
63,没人关心的可怜虫,336818252,小时候总骗爸妈我没钱了  现在总骗爸妈没事我还有钱,175112,2016-09-25 22:10:20,爸爸妈妈
64,你可以站在我的伞下,105759780,老爸不在几年了。翻老照片，发现近几年回家漫不经心拍的照片，当时觉得拍得不好，都是废片，现在竟然都觉得珍贵，每一张都有沉甸甸的意义。所以每次回家，都要好好拍拍亲人。说不定哪一天，就不在了。,143551,2016-03-22 22:45:45,爸爸妈妈
65,欲渡人再渡己,285306449,我爸妈是文盲，庄稼人，人家说什么他们信什么，只有一件事他们不信，自己孩子比人家孩子差。,113078,2016-10-01 00:13:44,爸爸妈妈
66,DirtyJeans,87167328,去年和老爹吵了一架，第二天知道他快过生日了，刚好也发了助学金，买了皮带和一件西装给他，我给他礼物的时候我可以看到他眼睛湿润了，又是一年我依然没看见他穿我给他的西装，戴我给他的皮带，他一直都在悄悄藏着，过时也不丢掉,95990,2016-03-22 22:13:48,爸爸妈妈
67,远愔-,55373140,想起了北大某学生的诗：我是使爸妈衰老的诸多事件之一职称、房贷、牛肉的价格我跻身其中，最为持久我是这对中年夫妻唯一相符的病症共同的疾患，二十三年来无时不在考验他们的婚姻我差不多就是耐性本身我是疲惫的侧面，谩骂的间歇我是流水中较大的那块石头将眼泪分成两份,87589,2016-03-25 18:33:03,爸爸妈妈
68,ChocoBaylor,34620357,@李荣浩 说这是他最难写的词，既不想煽情又要表达那种情感，最终完成那一瞬间他在微博叫大家跟他一起喊“耶”，可能他也觉得这首词太满意。既不煽情，又抒发了想表达的那种情感。,62965,2016-03-22 23:27:43,爸爸妈妈
69,你可以站在我的伞下,105759780,在妈妈的眼里 所有的病起源都是因为不喝水 不吃青菜 不早早睡觉 可是我爱她啊,59209,2016-03-22 23:08:54,爸爸妈妈
70,残暴的少年闰土,310963969,人最大的悲哀在于，拿着爸妈提供的物质，学着他们不懂的知识，见识他们没有见识过的世面，体验他们没体验过的人生，到头来，却嫌弃他们如此笨拙 。,58161,2018-11-07 16:09:23,爸爸妈妈
71,七四_,1331586047,独生子女不能死不能穷不能生病不能没出息不能丢下爸爸妈妈离开家,48661,2018-05-05 11:11:00,爸爸妈妈
72,想要听晚安,256956766,今天看到这么一段话 “妈妈也会想妈妈，爸爸也会变老，再坚强的人也会脆弱无助，我们要抓紧时间爱他们。”嗯，能不吵架的时候别吵架，别连一句我走了都无法回复他，相聚不过短暂时间，别吵着度过。,34005,2016-03-23 02:52:01,爸爸妈妈
73,baby瑶瑶瑶瑶瑶瑶,264381472,瞬间泪珠在眼前打转，大家一定要常回家看看父母啊。,31355,2018-12-20 18:01:13,爸爸妈妈
74,YouTube热门日推,19389416,歌颂这种平凡，一两句唱不完，恩重如山 听起来不自然。   这句歌词瞬间戳中泪点，可怜天下父母心。,30524,2016-03-22 23:22:48,爸爸妈妈
75,Ashcc,52254215,当年最喜欢用我爸的国产大手机双重低音炮放这歌，还做出一副得了忧郁症的样子，想想那画面简直太美！！,30094,2015-04-15 22:14:18,老人与海
76,团子团子_,32683257,初中时候听的，和隔壁班女孩天天放学一人一个耳机，单曲循环着。现在我都大四了，和她也失去联系好久了。[哀伤],23284,2014-11-19 17:55:16,老人与海
77,帐号已注销,120292,最喜欢看网易评论了！说不定还能碰到小学同学？初中同学？高中同学？大学同学？呵呵😊,17556,2014-12-14 00:45:26,老人与海
78,开士多只是我的兴趣,82556310,18岁那年捡了个摩托罗拉V3手机，里面就只有一首老人与海。初听就很喜欢，一直听到没电，就卖了50块去打老虎机。果然还是老虎机好玩,16158,2015-12-31 22:50:46,老人与海
79,三月五日坊主,86708069,小时候还以为是书的作者唱的,9081,2016-02-06 21:44:35,老人与海
80,空-囿,30363746,看来网易云音乐推荐的歌曲都是在帮助大家找回忆啊！[强],8742,2014-11-06 09:08:36,老人与海
81,PhilipLiang4,7271068,这首歌自认唱的最好的部分就是前奏的pi pi,7913,2014-11-30 12:56:27,老人与海
82,Aaaaaaallison,338904680,初听是斜刘海，再听已是地中海,6805,2021-12-29 14:59:16,老人与海
83,吃嘎嘎吗,76391351,感觉很多90后集中在此！初中听过这首歌的同学举起你们的手，让我看到你～,6234,2015-09-24 23:20:47,老人与海
84,阿克塔斯的夏天,11722574,07年的那个冬天，循环了整整一个冬天。,6172,2014-10-25 00:55:03,老人与海
85,Eddie的乐坊,44166196,2012年的高三 每天早上六点半来到教室就听到广播里的这首歌 又想到她  真是百般滋味,3859,2014-12-01 21:41:01,老人与海
86,9iik,1313672474,其实我真的很喜欢那个网络不是很发达的时代,2404,2022-01-23 13:39:41,老人与海
87,_Eau,36686697,超讨厌这个歌手！！海鸣威！！初三听了一年老人与海，中考的时候，一道填空题：《老人与海》的作者是_____？  想都没想就填了海鸣威！！！,2253,2016-07-05 19:24:00,老人与海
88,奶油芝士长得油点香,1477528221,都快2022了 还有人在听老人与海吗,2038,2021-12-26 16:34:21,老人与海
89,Qq栗,111202300,简单的话语中充斥着复杂的三角关系！,1761,2015-12-20 20:30:57,老人与海
90,星野real,46460873,高中和基友呆了三年，每次两个人晚上压操场的时候都是这首歌，跑累了就会躺在他怀里，静静的听他唱着这首歌～就这样撑过了高三美好的年华，现在很久不见了，天涯比邻，只要他好好的就好……别无所求,50215,2014-12-27 22:33:02,我们都一样
91,一止念兮_,33926888,某些人，喜不喜欢张杰，讨不讨厌张杰，都不会对他的生活造成任何影响…张杰自有星星守护。,12635,2014-11-20 22:24:03,我们都一样
92,1-1--1---1,42599531,高二不准带mp3p4同桌偷偷带过来教室，下课十分钟把耳机塞我耳朵里就是这首歌，唉，好怀念那些穿着大号校服把耳机塞袖子里偷偷听歌的小日子～,9032,2014-12-15 23:59:33,我们都一样
93,柒千千千千,381969129,我们不一样 我们都一样 有啥不一样 你还要我怎样[大哭][大哭],7220,2017-12-21 04:41:40,我们都一样
94,不露star,1531497810,五战研究生，不小了，不知道能不能成功。一个女孩不谈恋爱，不逛街，不化妆，每天做三件事，读书，锻炼身体，睡觉。刚刚身体舒服了点，明天接着去战斗，不知道2020年12月25日会考的怎样，我尽力了，希望余生可以善待我这样一个超努力的女生。不靠任何人只靠自己。,6708,2020-11-14 23:50:45,我们都一样
95,陛下歌声天下第一,545598259,大壮:我们不一样张杰:我们都一样张赫宣:我们不该这样的薛之谦:你还要我怎样,6037,2017-12-10 22:47:49,我们都一样
96,程寻ol,74642614,张杰的声音，辨识度很高，很清澈，每个明星都有人黑，但张杰是个很低调的人，相对于其他的明星，张杰算比较好的了，基本没绯闻，,5554,2015-07-16 03:43:17,我们都一样
97,不吃醋和柠檬i,37868218,没钱看你演唱会，但我会一直喜欢你，支持你,4857,2014-12-11 17:30:57,我们都一样
98,小淇也有梦想,136302901,中专，大专，本科，研究生，回头看都泪水与开心。,4535,2020-06-19 18:37:57,我们都一样
99,Linymore,39968146,大一那年一个周末她和我分手那天回到宿舍一声不吭躺床上，室友刚好单曲循环这首歌，从中午直到傍晚，后来跑到操场的雪地里就那么躺着，回到宿舍室友还在放这首歌…现在特意来找这首歌，我想，大概是因为偶然的原因这首歌能在现我那天的心情而已。,4090,2014-11-14 07:28:18,我们都一样
100,箂子,78118623,白天六台手术连轴转，中午从来没有午睡，晚上九点下班后回到家立马看书，眼睛都快睁不开了，但是想到未来，不得不坚持到现在凌晨一点。明天早上七点起床，又有三台大手术等着我，应该也要到晚上九点多。每天六个小时睡眠，我也很佩服我自己，我怎么坚持下来的，我也不知道…,3527,2016-03-09 01:02:01,我们都一样
101,深海蓝_鲸,1489646570,我们不一样，真的不一样。,2814,2018-12-25 15:14:35,我们都一样
102,圣僧凡,127275144,听到这首歌我流泪了 17岁没上学 没工作 也没人管我 想起了我的同学 不知他们到底还好吗,2643,2016-03-14 07:20:24,我们都一样
103,此用户已注销----,1992470381,她是张杰的粉丝，我希望她能看到，我很痛苦，也很想你杨汀钰，双数把她追回来，单数就做陌生人吧,1893,2021-10-30 19:08:55,我们都一样
104,颗粒yy,7552136,我好想你，那些用MP3听张杰的日子[心碎],1758,2016-03-15 05:07:25,我们都一样
105,Roger0211111,316180270,以后听到好听的歌尽量留评论，为了防止有一天把喜欢的歌删掉遗忘时还能有人点赞帮我想起来我曾经喜欢过这这首歌[可爱],3492,2017-05-07 14:53:18,过火
106,墨守原悉,136227962,表白蠢圈，我只能说，你唱歌真的特别好听。如果你哪天听到这首歌，看到我的评论，要给我点赞。这一天这个时候，我最喜欢你。,1289,2017-01-31 22:13:29,过火
107,CosinTan,44686182,又一首海外党的胜利。,1268,2016-08-11 02:13:06,过火
108,析_ovo,3815893993,老歌越听越有味 旧人越看越无情,1089,2022-08-14 23:53:46,过火
109,人禺尔,338586424,过火唱得好，备胎备到老,723,2019-03-29 10:56:27,过火
110,你渲染我整个世界,456275061,有人问， 分手了 ，还记得你的前任吗 ？怎么说呢 ，记得， 显得太花心 。不记得， 显得太薄情。 其实我觉得 那个人就好比我走道撞树上了 ，很痛， 以后我走路都会绕着这棵树走。 可能很久以后， 我就不会记得撞得有多痛了。 可是， 那颗大树永远都在！有些人真的是一旦错过就不再回来了,603,2017-09-28 21:18:26,过火
111,爱睡觉的小老虎_,5135950863,一个好兄弟去世8个月了我去看了他坟墓我对他说兄弟我想你了，我老婆已经怀孕八个月了 ，你要不就投胎我老婆肚子里吧。一个月后我儿子出生了，现在他一天天长大越来越像我兄弟了 ，我心里暗喜我的愿望是不是成真了,541,2022-08-11 08:49:48,过火
112,見她會心動,1556394614,杨绛曾写道：入了心的人，怎能说忘就忘，动了情的人，怎能说放就放，即使不见面，不说话，没有任何联系，心里总会有一个位置，安安稳稳放着一个人。有些人，止于唇齿，掩于岁月，有一种陪伴，不在身边却在心间，见与不见依然想念。 ​,325,2023-03-04 09:36:15,过火
113,加拿大林帝,5055090443,05的表示很爱听这首歌,305,2023-01-14 14:16:35,过火
114,不谙世事的猫,68492336,这歌评论不可能这么少，是因为中间版权丢失了么？,302,2022-09-02 23:10:41,过火
115,-1-冰岛,8336800878,其实早就不顺路了 是我非要看能走到哪一步.,276,2023-03-06 22:27:42,过火
116,析_ovo,3815893993,冷漠的人永远掌握主动权 ,267,2022-08-20 00:47:00,过火
117,去四合院喝豆汁儿,320106261,贾乃亮：怎么忍心怪你犯了错，是我给你自由过了火，让你更寂寞……,264,2018-01-09 05:32:23,过火
118,山鬼不再识字,5025264350,停停停 ！！！ 你别往下滑了 听我说：故事总会有结局 爱情终究会遗憾 遗憾也会讲完 过后又是一个新的故事 天气凉的时候记得多穿衣服 天热去衣 记得多喝热水 洗了头吹干再出去 生病了一定得自己吃药 每天记得按时吃饭 对自己好一点啊 少抽烟 少喝酒 少熬夜 其实我想说 你笑起来真的很好看,219,2022-09-04 16:08:56,过火
119,韓碩qq,445510363,有没有可能那是你兄弟的孩子[多多大哭][多多大哭],179,2022-08-11 12:53:46,过火
120,五福小姐Fishy,1101247,"""你在南方的艳阳里大雪纷飞，我在北方的寒夜里四季如春""，这首歌深刻地点明了北方有暖气南方无暖气所导致的人民矛盾。",326784,2015-01-03 16:28:55,南山南
121,ID什么的丨最讨厌了,44917336,写歌的人假正经听歌的人最无情人要是矫情起来 听什么都像在唱自己,180779,2015-08-24 12:10:38,南山南
122,董浩fantasy,52430344,事实上，机场比婚礼现场见证了更多真挚的接吻，医院的墙壁比教堂聆听了更多的祷告,159608,2015-09-07 12:55:42,南山南
123,一个Delpy,38249762,循环了很久，在猛然听成“如果天黑之前还来得及，我要挖了你的眼睛”之后，我就没法好好听这首歌了[晕],114477,2014-10-20 22:06:24,南山南
124,在夹缝中找我,73972960,“我写过一首歌，叫《南山南》，常有人听完后说它太悲伤，接着问起，这首歌里是不是有一个故事。我说，你听到这首歌的时候，它就已经和我无关了，你掉的眼泪，才是只有你自己知道的故事。”,95159,2015-06-19 23:18:31,南山南
125,夏日毛虫,31862798,中间插播的是老电影马路天使里的插曲，上世纪红极一时的歌星周璇唱的，那首歌叫四季歌，外婆非常喜欢，曾经花了好几个下午教会了我唱，外婆离开我五年多了，挺感谢马頔写出这支歌，里面又放上这么一小段，那是珍藏在我心底的回忆,59812,2014-11-06 14:11:21,南山南
126,泪水在战壕里决了堤丶,92427289,那是在西藏当兵的日子，当时大年初一晚上又站岗，站岗完了肚子好饿。下岗的时候就翻墙到墙外一家村民开的小卖部买了包泡面。用碗泡，结果在吃的时候在桌子上发现了一盘腊肉，好想吃。我就问那个买泡面的:兄弟，我能吃块腊肉下面条不。他说了一句感动一辈子的话:吃吧，把这当家一样。当时眼睛就红了…,58848,2015-11-12 21:39:42,南山南
127,往事如烟君莫笑,39325614,民谣歌手的生活走肾，唱作的时候走心,51563,2014-10-26 20:27:00,南山南
128,大梁辟天,106940499,外面大雪纷飞…………我说“出去么？”你“……”我说“去散步吧？”你“……”我真的很想和你在大雪纷飞的天空下散步，因为一不小心，我们就白了头。哈哈哈哈哈哈骗你的其实没有下雪也没有你,32659,2015-12-11 23:01:09,南山南
129,Melody-1125,453532796,"后来发现凉白开喝下去更干净,半夜写出的文字也挺有味道,清晨那碗粥暖胃舒服,痛极后孤立无援的想法更成熟,一路走一路失去也一路拥有，去见你想见的人吧.趁自己还活着.趁她还活着.趁记忆还能将过往呈现.趁时光还没有吞噬你们的思念.           --------至 所有人.",19528,2017-05-02 06:52:09,南山南
130,帐号已注销,33118493,有个视频是采访宋胖子，说莉莉安歌词太怪，胖子说他原来写歌有时很纠结，想要表达的表达不出来，不过后来明白了，表达不出来，就放在哪里，因为每一首歌对任何一个人来说，感觉都不一样，就像董小姐，本是写朋友的，大家却听出了爱情。就这样，也许歌词不知所云，但听完了，很感动。这不也是民谣。[可,19159,2014-10-20 11:16:05,南山南
131,britta说,85317288,马頔发消息称“好声音”冠军张磊将自己的《南山南》用于商演，属于侵权行为。创建民谣组织“麻油叶”的马頔（di）是《南山南》的原唱和词曲作者，然而许多网友却说“没张磊唱红这歌我们根本就不知道你”。因为翻唱更红就反对原唱维权，我们是不是像《南山南》里唱的，做了“只对自己说谎的哑巴”？,17918,2015-10-21 15:49:18,南山南
132,岁月是把猪饲料n,36174902,生如夏花出来，火了，所以你喜欢听。董小姐发布，流行了，所以你追。南山南唱红了，你又开始喜欢南山南，你喜欢的只是流行，不是民谣，喜欢的是任何人称道的美丽，不是第一次遇到你,16011,2015-10-04 00:58:05,南山南
